AWS	-0.9265156,-1.3464527,0.4228804,-1.2150892,0.23467356,-1.1739879,-1.1328977,-0.9569106,2.10596,0.37879777,-0.037946023,-0.03391888,0.68018514,0.30610958,-2.1619046,-0.33662605
SageMaker	0.8942615,0.08697183,0.2924964,1.8564955,-0.8140887,0.308488,-2.7474773,-0.29127607,0.44345236,0.30352265,1.4254895,0.24720229,1.1860656,-0.14306936,0.42813465,-1.88591
-	-0.6032676,0.72738296,-0.44731286,-1.7306114,1.3114424,-1.1946638,0.21296307,0.16557318,-0.2406133,-0.37071678,0.42548242,0.24270879,-0.95734334,1.2417907,0.2552399,0.6353965
XGBoost	1.7209147,1.4974864,-2.141597,-1.0548931,0.25898558,-0.53903204,-1.5543277,-0.5003988,1.0918734,-0.16334745,0.22616807,-0.45996314,-0.67263716,0.016455729,-0.53391945,0.928526
Content	-0.4591349,-1.8567644,1.5774491,0.99881613,-0.16680738,0.06552183,-0.517853,0.77977276,-0.46833673,0.30663666,-0.43231243,2.2237487,0.6414611,0.22748172,0.40791896,0.4828801
Prepared	0.2672193,-1.3926088,1.2937882,-0.21334748,0.22253338,-1.2809529,0.5680039,-0.15373954,1.1148777,2.0118165,-1.350864,-0.7100622,0.7283821,-1.1534038,0.4898506,1.1143805
By	-1.3211113,0.58439374,-0.41956007,0.18616594,0.20121801,0.17336969,0.2390134,1.1850634,0.17135276,1.3520625,1.5788339,-0.97966695,0.44151717,0.32755256,-1.1432791,0.32230687
Chandra	-0.5838478,0.01788711,-1.4573143,1.7001628,0.083834134,-0.60530245,-0.88543195,-0.8558543,-1.8008528,0.46683505,1.8736569,2.2322614,-0.268278,1.2383052,0.083313495,-1.1392294
Lingam	-0.061444227,1.4965034,0.44612303,-0.34012264,-1.5999265,0.45022473,-1.9667965,0.42054033,-0.96789986,-0.20763564,-0.11449392,-0.45944926,-0.18226784,-1.7449131,-1.2149446,-1.3104645
Cloud	0.5733164,1.4991233,-1.4319009,-1.3794281,0.23836946,-0.9015035,0.24204557,-0.68201756,-0.3151523,0.80317724,0.21059938,0.3067781,-0.98858017,-0.7483194,-0.20278104,1.4629058
Wave	0.97837985,0.75265044,-0.012265625,0.633103,-0.98363346,0.90142363,0.62521905,0.6200588,0.4859112,0.14112797,1.3088593,0.50994307,-0.49602666,0.054849587,-1.523428,-0.9204975
LLC	1.172147,0.4593341,-0.49171957,0.4135258,1.9447751,0.5562868,-0.45507404,0.07869004,-1.0415474,0.21158399,-1.799442,-1.8146888,0.5198734,0.9443355,-0.25101182,-0.029835466
Copyright	0.25941887,0.20144777,-0.86993927,-0.55080366,-0.72650814,-0.08693921,1.3693702,-0.38237256,0.86685395,0.2360712,0.20706147,0.56202966,-1.7704777,-1.5852582,-0.29241347,0.89868414
©	0.42141294,0.63751733,0.13690712,-0.33782843,-1.778826,-2.1018326,-0.78534263,-0.7262001,2.184778,-0.48463187,0.18316069,1.3815744,0.49380046,1.0192868,0.51160276,0.1501049
2019	-0.4815286,-1.6312383,0.49119583,-0.5309386,-2.7163775,0.5309148,0.972415,-0.25537124,-1.099556,2.3475683,0.51208186,-0.9281439,-0.79796404,-1.5766131,0.31396884,1.2987877
Cloud	0.5733164,1.4991233,-1.4319009,-1.3794281,0.23836946,-0.9015035,0.24204557,-0.68201756,-0.3151523,0.80317724,0.21059938,0.3067781,-0.98858017,-0.7483194,-0.20278104,1.4629058
Wave	0.97837985,0.75265044,-0.012265625,0.633103,-0.98363346,0.90142363,0.62521905,0.6200588,0.4859112,0.14112797,1.3088593,0.50994307,-0.49602666,0.054849587,-1.523428,-0.9204975
LLC	1.172147,0.4593341,-0.49171957,0.4135258,1.9447751,0.5562868,-0.45507404,0.07869004,-1.0415474,0.21158399,-1.799442,-1.8146888,0.5198734,0.9443355,-0.25101182,-0.029835466
All	-1.421228,-1.3165259,-0.37613004,1.6868045,-0.9654002,-0.07528999,0.55023926,-0.27240455,2.1263938,0.5218889,2.523026,-1.4753916,0.48998293,1.205574,-0.9311556,2.5124414
Rights	-0.7113742,1.974852,-0.3780585,1.7990439,-0.4657634,0.75652206,1.6146047,-1.3264152,-0.19033052,-0.4814047,1.2608192,0.42555138,-0.85630655,0.2995696,-0.56823677,2.4815521
Reserved	0.46787503,-0.30013132,-0.90825766,0.23613262,0.5004424,1.8728013,0.055234533,-2.5435505,0.25334957,1.5365638,-0.37668672,-0.5495934,-1.7072572,-0.073725596,-0.99150836,0.12532929
All	-1.421228,-1.3165259,-0.37613004,1.6868045,-0.9654002,-0.07528999,0.55023926,-0.27240455,2.1263938,0.5218889,2.523026,-1.4753916,0.48998293,1.205574,-0.9311556,2.5124414
other	1.356259,-1.4082316,1.4241494,-1.2396802,-0.64369994,0.37591034,-0.6114218,-0.64939547,2.1452415,0.09805581,-1.1511838,0.68154556,0.13303843,1.5461347,0.6525304,-0.04705477
registered	0.2997238,0.1362705,-0.5991773,-0.9575639,-0.45521212,0.5147355,0.29241458,-0.15949237,-1.6518236,1.1954118,-0.45519367,-0.2576706,1.1025503,-1.0843852,0.76128715,1.0180954
trademarks	1.1580302,-0.4051795,0.5438771,0.6147634,-0.6293867,0.47325873,-0.5362108,0.6792557,0.10819719,1.4020877,1.1820122,-1.2722317,0.16093443,-1.2249253,-0.57966775,2.0679448
and/or	0.5606745,0.10266102,1.097959,-1.5953994,1.0921698,-0.9471006,0.6495398,2.1132581,-1.5910325,0.65950316,1.6446801,1.2830094,-2.645538,-1.3378854,-1.5472195,-0.09727434
copyright	0.9316733,0.62136316,-0.85818964,1.4090648,-0.15516205,-0.1174367,-1.481521,0.92069703,0.7942483,-0.10639552,-2.53767,1.8480929,0.15903029,0.7567804,1.0586694,0.62231904
material	0.2991603,-0.11758339,-0.14282276,-0.41209063,-0.6127048,2.5062325,0.3383707,-0.9257785,2.0215085,0.5112829,2.780184,-0.4558628,0.46402174,0.00034472952,1.0973189,1.0577909
are	0.041454773,0.27195808,0.44929126,-0.08667709,0.45965752,-0.2780005,0.6312975,0.5505109,-1.2799296,-0.34099835,0.21666911,-0.4713041,-0.96235204,-0.6029649,1.1169773,-1.5155523
of	-1.1543951,0.5323426,-0.72937834,-0.5781622,0.09573415,0.46352723,-0.7985465,-1.3955536,-0.945969,0.6599864,0.30288354,0.8063087,-0.17170422,0.6964959,-0.59550077,0.5424483
their	-0.32788843,0.30432963,-0.050361518,0.10403581,0.3945133,-1.3976147,1.2080597,2.0596454,0.15733153,-0.652779,0.7589961,-0.12893417,-0.61396587,0.33590987,0.46713534,-0.389802
respective	-0.2110355,2.0808592,0.8447109,-0.4865698,0.17621349,-1.5466983,-0.07785313,-0.39338475,1.2793682,-1.1850932,0.2234689,1.1650081,-1.038047,1.3569485,0.04682935,-1.1697488
owners	-1.675563,-0.17307791,-0.08428328,-0.4592508,1.3118885,-0.77489,0.60628694,-0.22323039,-1.1004491,-0.4520685,-0.8745091,-1.2847636,-1.5701964,-1.0953879,-1.1983361,-0.58009243
Algorithms	0.62131214,1.8929864,0.4315898,-0.2628838,-1.4230754,1.1713903,0.8027907,-0.30924398,1.1497655,1.1456006,0.20639257,1.1213404,0.54566133,-0.37984926,0.29527995,-0.3598003
Overview	-1.5259693,0.030253226,0.25165763,-1.2104702,-0.25550926,1.7198585,1.019262,1.4354627,1.2658197,-1.5017612,0.035323843,-0.59098685,-0.30603886,1.015254,0.361317,1.5126485
Algorithm	1.5904406,-0.0906018,0.7019368,1.8190999,0.8160807,1.4596189,-0.33867085,0.27440092,-0.84097123,-1.2143915,0.7279767,1.4240818,-1.237679,-2.1315289,0.16488066,0.76920396
Description	-1.5602969,0.34696856,-2.4872427,2.4183307,-0.9687199,0.888088,1.0689625,1.4554589,0.26180115,1.4711773,1.5657032,-0.8886919,1.004717,-0.6363742,1.9051039,1.0847641
Linear	-1.3842772,-0.30851445,-0.15507986,0.55926543,2.4140186,-0.15924284,0.9258018,-1.9181634,0.18240698,0.03285966,0.6784193,0.4900918,0.5128614,0.48554534,-2.2128847,-2.4446745
Models	-0.49121788,0.89262545,-0.6808683,1.1049668,-1.1562428,1.0104005,1.0427979,0.03909844,-0.08891605,0.48689616,-1.3841866,0.75902903,-0.86945075,0.74390465,-1.6917276,-0.19889759
+	-0.9332373,0.8636745,0.6289381,-0.29879388,-0.4652389,-1.3734646,0.045321852,-1.0413575,1.0022599,0.7535935,0.5396597,1.1346436,0.6752649,-1.0084757,-1.7110065,0.49838448
Simple	0.78029525,-1.1959801,-1.4591082,-0.15857577,-0.4291412,-1.6149088,-1.2732519,0.65241545,-0.7478925,0.8135736,-0.14546199,-0.8986305,0.8471212,0.12355274,-0.5797912,0.968641
and	0.9394328,1.8381343,0.20330572,0.40107068,-0.0094795395,-0.00019930331,-1.3009421,-0.5101325,-0.97718793,-0.2619965,0.8134755,0.113497354,0.9108733,0.041878313,-3.0347805,-0.77579355
easy	0.88604385,-1.0095941,-1.0849328,1.5502237,0.67060685,-0.8097793,-1.1770606,-1.2097738,-0.59131557,0.56278014,-1.0735158,0.09115535,1.3307679,0.1433366,-0.38291478,0.11792506
to	-0.31876087,-0.6160546,3.0769994,-1.1480231,0.23322646,-0.32492784,1.7030697,-0.9056865,-0.0013420446,1.5951965,0.005193603,0.982592,0.33761996,0.71021336,0.22295661,-0.6505704
understand	-0.30889478,0.39536908,0.47550973,-0.22893842,-1.2765903,-0.77798337,0.905015,-0.45535815,0.25013778,-0.05871025,0.17882769,1.1307278,0.7074687,0.39317334,-0.78088427,-1.473841
+	-0.9332373,0.8636745,0.6289381,-0.29879388,-0.4652389,-1.3734646,0.045321852,-1.0413575,1.0022599,0.7535935,0.5396597,1.1346436,0.6752649,-1.0084757,-1.7110065,0.49838448
Performs	1.1128837,-0.87142587,0.9391919,1.1400151,1.7466671,-1.0155264,2.304127,-0.9802421,1.7153442,1.8592402,0.55466366,-1.0347493,-0.6846578,1.7382811,-1.2986473,-1.2148212
